.............+++++++++++++..............++++++++++++............++++++++++++.............+++++++++++ : Generation 86 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
.............++++++++++++..............+++++++++++++............++++++++++++.............+++++++++++ : Generation 87 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
.............++++++++++++..........................+++++++++++++...........++++++++++++............. : Generation 88 -- Population: 148, Species: 11, Max Fitness: 1176.36364238 (15325),
...............++++++++++++...................++++++++++++.............+++++++++++++.............+++ : Generation 89 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
................++++++++++++................+++++++++++++............++++++++++++++..............+++ : Generation 90 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
................+++++++++++++.................+++++++++++++............+++++++++++++..............++ : Generation 91 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
...............+++++++++++++................+++++++++++++............++++++++++++++..............+++ : Generation 92 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
............+++++++++++++++++++++++++++++++.............+++++++++++++.............++++++++++++++.... : Generation 93 -- Population: 150, Species: 10, Max Fitness: 1176.36364238 (15325),
...............++++++++++++++++++++..............++++++++++++++...............+++++++++++++++....... : Generation 94 -- Population: 150, Species: 10, Max Fitness: 1176.36364238 (15325),
...............+++++++++++++++++..............+++++++++++++................++++++++++++++++......... : Generation 95 -- Population: 150, Species: 10, Max Fitness: 1176.36364238 (15325),
.................++++++++++++++++..............+++++++++++++................++++++++++++++++........ : Generation 96 -- Population: 150, Species: 10, Max Fitness: 1176.36364238 (15325),
...............++++++++++++++++..............++++++++++++++................++++++++++++++++......... : Generation 97 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
..............+++++++++++++..............++++++++++++...............+++++++++++++++.............++++ : Generation 98 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
...........+++++++++++++..............+++++++++++++..............+++++++++++++++.............+++++++ : Generation 99 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
...........++++++++++++++++...........++++++++++++.............++++++++++++++............+++++++++++ : Generation 100 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
.............+++++++++++++++............++++++++++++.............+++++++++++++............++++++++++ : Generation 101 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
............+++++++++++++++............+++++++++++.............+++++++++++++............++++++++++++ : Generation 102 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
............+++++++++++++++............++++++++++++.............+++++++++++++............+++++++++++ : Generation 103 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
............+++++++++++++++............++++++++++++.............+++++++++++++............+++++++++++ : Generation 104 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
............++++++++++++++............++++++++++++.............+++++++++++++............++++++++++++ : Generation 105 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
...........+++++++++++++++............+++++++++++.............+++++++++++++............+++++++++++++ : Generation 106 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
............+++++++++++++++++++++++++++............+++++++++++++.............++++++++++++........... : Generation 107 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
.............+++++++++++++++++.............++++++++++++++..............+++++++++++++.............+++ : Generation 108 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
............+++++++++++++++++++++++++++++++.............++++++++++++++..............+++++++++++++... : Generation 109 -- Population: 150, Species: 10, Max Fitness: 1176.36364238 (15325),
................++++++++++++++++++++.............+++++++++++++++...............++++++++++++++....... : Generation 110 -- Population: 149, Species: 10, Max Fitness: 1176.36364238 (15325),
...............................+++++++++++++++................++++++++++++++++...............+++++++ : Generation 111 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
...................................++++++++++++++++.................+++++++++++++++++............... : Generation 112 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
....................+++++++++++++++++.................+++++++++++++++++................+++++++++++++ : Generation 113 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
................+++++++++++++++++.................++++++++++++++++.................+++++++++++++++++ : Generation 114 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
................+++++++++++++++++.................++++++++++++++++++................++++++++++++++++ : Generation 115 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
................................................+++++++++++++++++.................+++++++++++++++++. : Generation 116 -- Population: 150, Species: 8, Max Fitness: 1176.36364238 (15325),
........................++++++++++++++++...................+++++++++++++++++++..................++++ : Generation 117 -- Population: 148, Species: 8, Max Fitness: 1176.36364238 (15325),
.......................+++++++++++++++++++..................++++++++++++++++++..................++++ : Generation 118 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
..................++++++++++++++++................++++++++++++++++++................++++++++++++++++ : Generation 119 -- Population: 148, Species: 9, Max Fitness: 1176.36364238 (15325),
...................+++++++++++++++++.................+++++++++++++++++................++++++++++++++ : Generation 120 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
.................+++++++++++++++++................+++++++++++++++++................+++++++++++++++++ : Generation 121 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
..............+++++++++++++++++.................+++++++++++++++++.................+++++++++++++++++. : Generation 122 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
.................+++++++++++++++++.................+++++++++++++++++.................+++++++++++++++ : Generation 123 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
.................+++++++++++++++++.................+++++++++++++++++................++++++++++++++++ : Generation 124 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
..............+++++++++++++++++.................+++++++++++++++++.................+++++++++++++++++. : Generation 125 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
................+++++++++++++++++................+++++++++++++++++.................+++++++++++++++++ : Generation 126 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
.................+++++++++++++++++.................+++++++++++++++++................++++++++++++++++ : Generation 127 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
................+++++++++++++++++................+++++++++++++++++.................+++++++++++++++++ : Generation 128 -- Population: 148, Species: 9, Max Fitness: 1176.36364238 (15325),
................+++++++++++++++++................+++++++++++++++++................+++++++++++++++++. : Generation 129 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
..............+++++++++++++++++..................+++++++++++++++++.................+++++++++++++++++ : Generation 130 -- Population: 150, Species: 9, Max Fitness: 1176.36364238 (15325),
............++++++++++++++++++.................++++++++++++++++++.................+++++++++++++++++. : Generation 131 -- Population: 149, Species: 9, Max Fitness: 1176.36364238 (15325),
.................+++++++++++++++++................+++++++++++++++++................+++++++++++++++++ : Generation 132 -- Population: 150, Species: 10, Max Fitness: 1176.36364238 (15325),
.............+++++++++++++++++................+++++++++++++++++................+++++++++++++++++.... : Generation 133 -- Population: 150, Species: 10, Max Fitness: 1176.36364238 (15325),
............++++++++++++++++...............++++++++++++++++................+++++++++++++++.......... : Generation 134 -- Population: 148, Species: 10, Max Fitness: 1176.36364238 (15325),
..............++++++++++++++++................++++++++++++++++...............++++++++++++++++....... : Generation 135 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
.........+++++++++++++++..............+++++++++++++++..............+++++++++++++++...............+++ : Generation 136 -- Population: 150, Species: 11, Max Fitness: 1176.36364238 (15325),
.........+++++++++++++++...............+++++++++++++++..............+++++++++++++++...............++ : Generation 137 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
............+++++++++++++++..............+++++++++++++++.............+++++++++++++++...............+ : Generation 138 -- Population: 149, Species: 12, Max Fitness: 1176.36364238 (15325),
...........+++++++++++++++..............+++++++++++++++.............+++++++++++++++...............++ : Generation 139 -- Population: 150, Species: 12, Max Fitness: 1176.36364238 (15325),
..........++++++++++++++...............+++++++++++++++.............+++++++++++++++...............+++ : Generation 140 -- Population: 149, Species: 12, Max Fitness: 1176.36364238 (15325),
..........++++++++++++++..............+++++++++++++++.............+++++++++++++++...............++++ : Generation 141 -- Population: 150, Species: 13, Max Fitness: 1176.36364238 (15325),
.............+++++++++++++............++++++++++++++.............++++++++++++++.............++++++++ : Generation 142 -- Population: 147, Species: 13, Max Fitness: 1176.36364238 (15325),
...............+++++++++++++.............++++++++++++++.............+++++++++++++.............++++++ : Generation 143 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
...........+++++++++++++.............+++++++++++++............+++++++++++++.............++++++++++++ : Generation 144 -- Population: 150, Species: 14, Max Fitness: 1176.36364238 (15325),
.........+++++++++++++...........+++++++++++++............+++++++++++++............++++++++++++..... : Generation 145 -- Population: 149, Species: 15, Max Fitness: 1176.36364238 (15325),
..........+++++++++++............+++++++++++...........+++++++++++...........+++++++++++...........+ : Generation 146 -- Population: 150, Species: 16, Max Fitness: 1176.36364238 (15325),
......+++++++++++...........++++++++++...........+++++++++++............+++++++++++..........+++++++ : Generation 147 -- Population: 148, Species: 16, Max Fitness: 1176.36364238 (15325),
.................+++++++++++...........+++++++++++..........+++++++++++...........+++++++++++....... : Generation 148 -- Population: 150, Species: 16, Max Fitness: 1176.36364238 (15325),
.....++++++++++............++++++++++++............+++++++++++..........++++++++++...........+++++++ : Generation 149 -- Population: 147, Species: 16, Max Fitness: 1176.36364238 (15325),
....................+++++++++++...........+++++++++++...........+++++++++++.........+++++++++++..... : Generation 150 -- Population: 149, Species: 15, Max Fitness: 1176.36364238 (15325),
.........++++++++++++............++++++++++++............+++++++++++............++++++++++++........ : Generation 151 -- Population: 150, Species: 15, Max Fitness: 1176.36364238 (15325),
......++++++++++++............++++++++++++............++++++++++++............++++++++++++.......... : Generation 152 -- Population: 150, Species: 15, Max Fitness: 1176.36364238 (15325),
......++++++++++++............++++++++++++............++++++++++++............++++++++++++.......... : Generation 153 -- Population: 150, Species: 15, Max Fitness: 1176.36364238 (15325),
.......++++++++++++............++++++++++++............++++++++++++............+++++++++++.......... : Generation 154 -- Population: 149, Species: 15, Max Fitness: 1176.36364238 (15325),
........+++++++++++...........+++++++++++........++++++++++++............+++++++++++...........+++++ : Generation 155 -- Population: 148, Species: 16, Max Fitness: 1176.36364238 (15325),
